"gene","filtered_output2_260_WT_1_B2","filtered_output2_985_SOCS3_1_B2","filtered_output2_Tube1_SOCS3_2_B1","filtered_output2_Tube2_SOCS3_3_B1","filtered_output2_Tube3_WT_2_B1","filtered_output2_Tube4_WT_3_B1"
"ENSMUSG00000002028",4764,5924,7105,7304,6601,5743
"ENSMUSG00000002031",839,1808,1610,2166,2124,1136
"ENSMUSG00000002032",451,1018,413,716,775,328
"ENSMUSG00000002033",115,140,101,74,99,95
"ENSMUSG00000002043",157,174,157,153,127,96
"ENSMUSG00000002052",1167,1364,422,665,527,436
"ENSMUSG00000002055",1464,1537,2123,1533,1388,1613
"ENSMUSG00000002057",817,1049,1239,1209,1078,962
"ENSMUSG00000002058",351,480,228,276,213,212
"ENSMUSG00000002059",1,0,0,0,2,0
"ENSMUSG00000002064",71,130,12,34,41,7
"ENSMUSG00000002068",0,0,0,0,0,0
"ENSMUSG00000002076",745,1131,402,734,570,467
"ENSMUSG00000002083",377,523,126,168,194,133
"ENSMUSG00000002100",1545,2075,391,1022,888,475
"ENSMUSG00000002102",20,16,45,53,24,12
"ENSMUSG00000002103",19,22,40,63,57,31
"ENSMUSG00000002104",127,225,202,233,215,167
"ENSMUSG00000002105",213,273,290,294,200,231
"ENSMUSG00000002107",8568,9259,5646,5669,4691,5422
"ENSMUSG00000002108",899,1002,1013,735,857,788
"ENSMUSG00000002109",212,335,427,480,371,338
"ENSMUSG00000002111",311,462,130,195,219,175
"ENSMUSG00000002129",96,86,65,52,86,72
"ENSMUSG00000002147",1505,1758,1782,1435,1352,1429
"ENSMUSG00000002190",291,271,268,234,211,277
"ENSMUSG00000002204",13,20,21,9,7,11
"ENSMUSG00000002205",0,0,0,3,0,0
"ENSMUSG00000002210",495,537,659,569,528,747
"ENSMUSG00000002221",0,0,0,0,1,0
"ENSMUSG00000002222",1463,1297,1962,1493,1402,1682
"ENSMUSG00000002227",3,0,0,0,0,2
"ENSMUSG00000002228",0,0,10,1,5,5
"ENSMUSG00000002233",0,0,0,0,0,0
"ENSMUSG00000002240",0,0,0,0,0,0
"ENSMUSG00000002249",4,5,7,1,8,0
"ENSMUSG00000002250",140,147,59,100,98,70
"ENSMUSG00000002257",173,179,61,152,111,46
"ENSMUSG00000002265",1030,1320,2091,2456,1540,2157
"ENSMUSG00000002266",20,42,145,163,102,186
"ENSMUSG00000002274",95,172,136,93,80,94
"ENSMUSG00000002279",995,893,1467,1054,866,1062
"ENSMUSG00000002280",143,161,91,163,166,125
"ENSMUSG00000002289",27465,20193,33517,23846,21635,30474
"ENSMUSG00000002297",420,492,415,303,336,383
"ENSMUSG00000002307",90,188,37,98,37,66
"ENSMUSG00000002308",821,658,3010,1083,1334,2678
"ENSMUSG00000002319",234,298,460,384,310,379
"ENSMUSG00000002320",4,1,10,2,3,5
"ENSMUSG00000002324",139,64,27,46,57,38
"ENSMUSG00000002325",0,11,11,11,26,6
"ENSMUSG00000002326",11,0,9,2,9,9
"ENSMUSG00000002329",2431,2454,2458,1905,2087,2137
"ENSMUSG00000002332",1,12,13,10,19,0
"ENSMUSG00000002341",1056,1020,457,595,577,459
"ENSMUSG00000002342",1575,1504,7014,5151,3387,6212
"ENSMUSG00000002343",1024,785,1479,1242,1001,1113
"ENSMUSG00000002345",1317,1411,1816,1639,1386,1479
"ENSMUSG00000002346",139,137,248,167,144,117
"ENSMUSG00000002365",249,325,259,222,288,174
"ENSMUSG00000002372",1465,1589,1896,1470,1471,1456
"ENSMUSG00000002379",1022,1100,1520,1187,972,1310
"ENSMUSG00000002384",259,295,93,186,121,134
"ENSMUSG00000002393",0,5,0,1,0,0
"ENSMUSG00000002395",3,0,0,0,0,1
"ENSMUSG00000002396",1,17,1,4,0,4
"ENSMUSG00000002409",410,439,275,254,226,329
"ENSMUSG00000002413",2113,2121,1904,1817,1591,1878
"ENSMUSG00000002416",212,262,218,207,169,181
"ENSMUSG00000002428",466,568,382,428,402,376
"ENSMUSG00000002455",863,958,719,508,479,457
"ENSMUSG00000002458",46,60,52,46,26,29
